pincode,state,district,is_active
744101,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TRUE
744102,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TRUE
744103,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TRUE
744104,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TRUE
744105,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TRUE
744106,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TRUE
744107,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TRUE
744201,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,TRUE
744202,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,TRUE
744203,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,TRUE
744204,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,TRUE
744205,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,TRUE
744206,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TRUE
744207,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TRUE
744209,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,TRUE
744210,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,TRUE
744211,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TRUE
744301,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,TRUE
744302,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,TRUE
744303,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,TRUE
744304,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,TRUE
504346,ANDHRA PRADESH,PRAKASAM,TRUE
515001,ANDHRA PRADESH,ANANTAPUR,TRUE
515002,ANDHRA PRADESH,ANANTAPUR,TRUE
515003,ANDHRA PRADESH,ANANTAPUR,TRUE
515004,ANDHRA PRADESH,ANANTAPUR,TRUE
515005,ANDHRA PRADESH,ANANTAPUR,TRUE
515006,ANDHRA PRADESH,ANANTAPUR,TRUE
515101,ANDHRA PRADESH,Sri Sathya Sai,TRUE
515110,ANDHRA PRADESH,Sri Sathya Sai,TRUE
515122,ANDHRA PRADESH,Sri Sathya Sai,TRUE
515123,ANDHRA PRADESH,Sri Sathya Sai,TRUE
515124,ANDHRA PRADESH,Sri Sathya Sai,TRUE
515133,ANDHRA PRADESH,Sri Sathya Sai,TRUE
515134,ANDHRA PRADESH,Sri Sathya Sai,TRUE
515144,ANDHRA PRADESH,Sri Sathya Sai,TRUE
515154,ANDHRA PRADESH,Sri Sathya Sai,TRUE
515159,ANDHRA PRADESH,Sri Sathya Sai,TRUE
515164,ANDHRA PRADESH,Sri Sathya Sai,TRUE
531149,ANDHRA PRADESH,VISAKHAPATANAM,TRUE
531151,ANDHRA PRADESH,VISAKHAPATANAM,TRUE
531162,ANDHRA PRADESH,VIZIANAGARAM,TRUE
531163,ANDHRA PRADESH,VISAKHAPATANAM,TRUE
531173,ANDHRA PRADESH,VISAKHAPATANAM,TRUE
531219,ANDHRA PRADESH,VISAKHAPATANAM,TRUE
532001,ANDHRA PRADESH,SRIKAKULAM,TRUE
532005,ANDHRA PRADESH,SRIKAKULAM,TRUE
532122,ANDHRA PRADESH,SRIKAKULAM,TRUE
532123,ANDHRA PRADESH,SRIKAKULAM,TRUE
532127,ANDHRA PRADESH,SRIKAKULAM,TRUE
532148,ANDHRA PRADESH,SRIKAKULAM,TRUE
532167,ANDHRA PRADESH,SRIKAKULAM,TRUE
532168,ANDHRA PRADESH,SRIKAKULAM,TRUE
532185,ANDHRA PRADESH,SRIKAKULAM,TRUE
532186,ANDHRA PRADESH,SRIKAKULAM,TRUE
532187,ANDHRA PRADESH,SRIKAKULAM,TRUE
532190,ANDHRA PRADESH,SRIKAKULAM,TRUE
532195,ANDHRA PRADESH,SRIKAKULAM,TRUE
532201,ANDHRA PRADESH,SRIKAKULAM,TRUE
532203,ANDHRA PRADESH,SRIKAKULAM,TRUE
532204,ANDHRA PRADESH,SRIKAKULAM,TRUE
532207,ANDHRA PRADESH,SRIKAKULAM,TRUE
532211,ANDHRA PRADESH,SRIKAKULAM,TRUE
532212,ANDHRA PRADESH,SRIKAKULAM,TRUE
532213,ANDHRA PRADESH,SRIKAKULAM,TRUE
532214,ANDHRA PRADESH,SRIKAKULAM,TRUE
532215,ANDHRA PRADESH,SRIKAKULAM,TRUE
